Status of existing checking account,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors/guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,Foreign worker,Good/Bad
864,no checking account,10,existing credits paid back duly till now,furniture/equipment,2210,... < 100 DM, 1 <= ... < 4 years,Two,male: single,none,Two,real estate,25,bank,rent,One,unskilled - resident,One,none,yes,Bad
865,no checking account,15,existing credits paid back duly till now,furniture/equipment,2221,500 <= ... < 1000 DM, 1 <= ... < 4 years,Two,female: divorced/separated/married,none,Four,car or other,20,none,rent,One,skilled employee / official,One,none,yes,Good
866,... < 0 DM,18,existing credits paid back duly till now,radio/television,2389,... < 100 DM,... < 1 year,Four,female: divorced/separated/married,none,One,car or other,27,stores,own,One,skilled employee / official,One,none,yes,Good
867,no checking account,12,critical account/ other credits existing (not at this bank),furniture/equipment,3331,... < 100 DM,... >= 7 years,Two,male: single,none,Four,building society savings agreement/life insurance,42,stores,own,One,skilled employee / official,One,none,yes,Good
868,no checking account,36,existing credits paid back duly till now,business,7409,unknown/no savings account,... >= 7 years,Three,male: single,none,Two,building society savings agreement/life insurance,37,none,own,Two,skilled employee / official,One,none,yes,Good
869,... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,652,... < 100 DM,... >= 7 years,Four,female: divorced/separated/married,none,Four,building society savings agreement/life insurance,24,none,rent,One,skilled employee / official,One,none,yes,Good
870,no checking account,36,delay in paying off in the past,furniture/equipment,7678,500 <= ... < 1000 DM,4 <= ... < 7 years,Two,female: divorced/separated/married,none,Four,car or other,40,none,own,Two,skilled employee / official,One,"yes, registered under the customers name",yes,Good
871,... >= 200 DM / salary assignments for at least 1 year,6,critical account/ other credits existing (not at this bank),car (new),1343,... < 100 DM,... >= 7 years,One,male: single,none,Four,real estate,46,none,own,Two,skilled employee / official,Two,none,no,Good
872,... < 0 DM,24,critical account/ other credits existing (not at this bank),business,1382,100 <= ... < 500 DM,4 <= ... < 7 years,Four,male: single,none,One,real estate,26,none,own,Two,skilled employee / official,One,"yes, registered under the customers name",yes,Good
873,no checking account,15,existing credits paid back duly till now,domestic appliances,874,unknown/no savings account,... < 1 year,Four,female: divorced/separated/married,none,One,real estate,24,none,own,One,skilled employee / official,One,none,yes,Good
874,... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,3590,... < 100 DM, 1 <= ... < 4 years,Two,male: single,co-applicant,Two,building society savings agreement/life insurance,29,none,own,One,unskilled - resident,Two,none,yes,Good
875,0 <= 200 DM,11,critical account/ other credits existing (not at this bank),car (new),1322,... >= 1000 DM, 1 <= ... < 4 years,Four,female: divorced/separated/married,none,Four,car or other,40,none,own,Two,skilled employee / official,One,none,yes,Good
876,... < 0 DM,18,all credits at this bank paid back duly,radio/television,1940,... < 100 DM,... < 1 year,Three,male: single,co-applicant,Four,unknown / no property,36,bank,for free,One,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Good
877,no checking account,36,existing credits paid back duly till now,radio/television,3595,... < 100 DM,... >= 7 years,Four,male: single,none,Two,car or other,28,none,own,One,skilled employee / official,One,none,yes,Good
878,... < 0 DM,9,existing credits paid back duly till now,car (new),1422,... < 100 DM,... < 1 year,Three,male: single,none,Two,unknown / no property,27,none,for free,One,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Bad
879,no checking account,30,critical account/ other credits existing (not at this bank),radio/television,6742,unknown/no savings account,4 <= ... < 7 years,Two,male: single,none,Three,building society savings agreement/life insurance,36,none,own,Two,skilled employee / official,One,none,yes,Good
880,no checking account,24,existing credits paid back duly till now,car (used),7814,... < 100 DM,4 <= ... < 7 years,Three,male: single,none,Three,car or other,38,none,own,One,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Good
881,no checking account,24,existing credits paid back duly till now,car (used),9277,unknown/no savings account, 1 <= ... < 4 years,Two,male: divorced/separated,none,Four,unknown / no property,48,none,for free,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
882,0 <= 200 DM,30,critical account/ other credits existing (not at this bank),car (new),2181,unknown/no savings account,... >= 7 years,Four,male: single,none,Four,real estate,36,none,own,Two,skilled employee / official,One,none,yes,Good
883,no checking account,18,critical account/ other credits existing (not at this bank),radio/television,1098,... < 100 DM,unemployed,Four,female: divorced/separated/married,none,Four,car or other,65,none,own,Two,unemployed/unskilled - non-resident,One,none,yes,Good
884,0 <= 200 DM,24,existing credits paid back duly till now,furniture/equipment,4057,... < 100 DM,4 <= ... < 7 years,Three,male: divorced/separated,none,Three,car or other,43,none,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Bad
885,... < 0 DM,12,existing credits paid back duly till now,education,795,... < 100 DM,... < 1 year,Four,female: divorced/separated/married,none,Four,building society savings agreement/life insurance,53,none,own,One,skilled employee / official,One,none,yes,Bad
886,0 <= 200 DM,24,critical account/ other credits existing (not at this bank),business,2825,unknown/no savings account,4 <= ... < 7 years,Four,male: single,none,Three,unknown / no property,34,none,own,Two,skilled employee / official,Two,"yes, registered under the customers name",yes,Good
887,0 <= 200 DM,48,existing credits paid back duly till now,business,15672,... < 100 DM, 1 <= ... < 4 years,Two,male: single,none,Two,car or other,23,none,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Bad
888,no checking account,36,critical account/ other credits existing (not at this bank),car (new),6614,... < 100 DM,... >= 7 years,Four,male: single,none,Four,car or other,34,none,own,Two,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Good
889,no checking account,28,all credits at this bank paid back duly,car (used),7824,unknown/no savings account,... < 1 year,Three,male: single,guarantor,Four,real estate,40,bank,rent,Two,skilled employee / official,Two,"yes, registered under the customers name",yes,Good
890,... < 0 DM,27,critical account/ other credits existing (not at this bank),business,2442,... < 100 DM,... >= 7 years,Four,male: single,none,Four,car or other,43,stores,own,Four,management / self-employed / highly qualified employee / officer,Two,"yes, registered under the customers name",yes,Good
891,no checking account,15,critical account/ other credits existing (not at this bank),radio/television,1829,... < 100 DM,... >= 7 years,Four,male: single,none,Four,car or other,46,none,own,Two,skilled employee / official,One,"yes, registered under the customers name",yes,Good
892,... < 0 DM,12,critical account/ other credits existing (not at this bank),car (new),2171,... < 100 DM, 1 <= ... < 4 years,Four,male: single,none,Four,building society savings agreement/life insurance,38,bank,own,Two,unskilled - resident,One,none,no,Good
893,0 <= 200 DM,36,critical account/ other credits existing (not at this bank),car (used),5800,... < 100 DM, 1 <= ... < 4 years,Three,male: single,none,Four,car or other,34,none,own,Two,skilled employee / official,One,"yes, registered under the customers name",yes,Good
894,no checking account,18,critical account/ other credits existing (not at this bank),radio/television,1169,unknown/no savings account, 1 <= ... < 4 years,Four,male: single,none,Three,building society savings agreement/life insurance,29,none,own,Two,skilled employee / official,One,"yes, registered under the customers name",yes,Good
895,no checking account,36,delay in paying off in the past,car (used),8947,unknown/no savings account,4 <= ... < 7 years,Three,male: single,none,Two,car or other,31,stores,own,One,management / self-employed / highly qualified employee / officer,Two,"yes, registered under the customers name",yes,Good
896,... < 0 DM,21,existing credits paid back duly till now,radio/television,2606,... < 100 DM,... < 1 year,Four,female: divorced/separated/married,none,Four,building society savings agreement/life insurance,28,none,rent,One,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Good
897,no checking account,12,critical account/ other credits existing (not at this bank),furniture/equipment,1592,... >= 1000 DM,4 <= ... < 7 years,Three,female: divorced/separated/married,none,Two,building society savings agreement/life insurance,35,none,own,One,skilled employee / official,One,none,no,Good
898,no checking account,15,existing credits paid back duly till now,furniture/equipment,2186,unknown/no savings account,4 <= ... < 7 years,One,female: divorced/separated/married,none,Four,real estate,33,bank,rent,One,unskilled - resident,One,none,yes,Good
899,... < 0 DM,18,existing credits paid back duly till now,furniture/equipment,4153,... < 100 DM, 1 <= ... < 4 years,Two,male: single,co-applicant,Three,car or other,42,none,own,One,skilled employee / official,One,none,yes,Bad
900,... < 0 DM,16,critical account/ other credits existing (not at this bank),car (new),2625,... < 100 DM,... >= 7 years,Two,male: single,guarantor,Four,building society savings agreement/life insurance,43,bank,rent,One,skilled employee / official,One,"yes, registered under the customers name",yes,Bad
901,no checking account,20,critical account/ other credits existing (not at this bank),car (new),3485,unknown/no savings account,... < 1 year,Two,male: divorced/separated,none,Four,real estate,44,none,own,Two,skilled employee / official,One,"yes, registered under the customers name",yes,Good
902,no checking account,36,critical account/ other credits existing (not at this bank),car (used),10477,unknown/no savings account,... >= 7 years,Two,male: single,none,Four,unknown / no property,42,none,for free,Two,skilled employee / official,One,none,yes,Good
903,no checking account,15,existing credits paid back duly till now,radio/television,1386,unknown/no savings account, 1 <= ... < 4 years,Four,male: married/widowed,none,Two,real estate,40,none,rent,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
